age,income,debt_to_income_ratio,credit_utilization,late_payments,credit_history_years,loan_amount,months_employed,savings_balance,existing_loans,monthly_debt_payment,employment_status,risk_flag,credit_score
58,42361.79,0.3792,0.5035,1,3,19667.98,71,5584.41,3,1321.28,Self-employed,1,644.53
35,102293.3,0.2543,0.1047,0,3,13346.51,85,77515.75,2,47.98,Full-time,1,818.37
49,63631.76,0.1803,0.2587,1,4,14544.43,71,20129.66,1,444.47,Full-time,1,765.4
22,77104.26,0.3751,0.2202,0,12,34606.38,12,1490.19,2,279.22,Full-time,1,692.42
37,81397.38,0.3655,0.1731,1,7,26260.63,39,8645.27,1,273.23,Full-time,1,704.58
41,103513.54,0.1857,0.3597,5,1,13364.99,54,11435.96,1,287.96,Part-time,1,624.36
67,68680.68,0.2764,0.193,2,15,84215.26,160,20877.87,2,398.59,Full-time,1,802.16
31,124813.13,0.1636,0.322,2,14,6179.61,33,13257.02,3,1006.22,Full-time,1,697.92
33,76056.81,0.5675,0.2827,4,12,11835.87,11,3058.71,2,439.55,Full-time,1,518.24
40,87630.37,0.2131,0.2425,1,12,12022.51,112,7795.22,1,252.63,Unemployed,1,793.78
67,45480.18,0.3488,0.3008,0,12,19423.56,56,6178.84,2,259.69,Full-time,1,716.83
61,174799.79,0.3435,0.3478,2,14,39841.41,24,25241.58,1,113.28,Part-time,1,630.0
22,81750.01,0.5605,0.4648,2,16,32211.15,71,8420.75,3,219.18,Part-time,1,574.82
31,91203.53,0.141,0.107,1,17,19706.17,10,8335.74,0,442.66,Full-time,0,764.28
59,32090.53,0.6087,0.1045,3,5,7122.52,81,10703.52,2,507.9,Part-time,1,633.76
23,45696.82,0.501,0.1718,1,6,35193.24,147,6420.49,1,1163.17,Full-time,1,754.25
61,115502.52,0.3927,0.27,0,3,8146.45,102,48160.77,1,468.55,Full-time,1,749.69
34,75289.88,0.4098,0.2189,3,10,13612.27,166,34688.22,1,276.47,Full-time,1,735.67
64,27967.52,0.3804,0.2535,2,8,17104.85,179,36094.99,0,368.95,Unemployed,1,771.67
34,105580.66,0.2101,0.5374,1,11,10247.31,152,4682.36,1,663.92,Part-time,1,754.29
41,51807.89,0.3758,0.0782,1,11,10108.49,138,18021.01,2,565.78,Full-time,1,807.71
52,124878.01,0.4467,0.1775,0,10,33548.83,106,26107.82,2,281.29,Full-time,1,759.95
26,63606.69,0.4672,0.2855,2,1,49908.36,18,5584.52,2,280.95,Part-time,1,603.46
47,72556.29,0.3211,0.0977,1,11,17123.66,66,4927.69,3,718.15,Full-time,1,759.24
44,112479.87,0.3343,0.5195,1,3,5191.01,164,5748.89,2,306.56,Full-time,1,731.5
57,44184.45,0.2974,0.7233,1,17,21946.79,17,3856.36,3,213.89,Full-time,1,569.12
67,42328.63,0.1432,0.1223,1,1,11077.88,140,32543.46,2,517.46,Full-time,1,850.0
52,60571.25,0.4288,0.174,1,9,23211.63,72,30066.2,3,639.64,Full-time,1,712.86
40,96011.93,0.1929,0.3019,2,7,22177.68,167,10145.74,1,229.04,Full-time,1,805.82
40,36355.66,0.2439,0.3957,2,15,4831.34,35,12654.27,3,673.09,Part-time,1,657.07
40,31237.81,0.135,0.2398,0,1,13721.71,78,7487.1,4,889.36,Self-employed,1,814.55
59,95862.91,0.2128,0.5063,4,11,27762.75,146,95523.06,3,552.79,Part-time,1,681.25
36,50446.05,0.2887,0.5096,2,15,16894.94,76,9225.35,2,96.03,Self-employed,1,649.32
28,55464.49,0.1866,0.3649,1,14,8371.12,150,8521.37,4,348.27,Part-time,1,802.8
36,28693.77,0.5459,0.3538,1,5,28549.9,67,11981.96,2,778.39,Part-time,1,628.61
22,48749.94,0.1402,0.1828,1,6,5620.47,86,4369.47,2,649.55,Unemployed,1,808.91
25,65946.21,0.2863,0.2281,2,4,21243.91,128,16771.43,1,32.42,Self-employed,1,763.75
25,100576.11,0.2043,0.2465,0,6,12365.48,57,44896.58,2,431.0,Full-time,1,774.58
57,46767.62,0.3133,0.1814,1,8,24436.63,146,11521.42,1,458.42,Part-time,1,807.33
54,139499.91,0.3906,0.3953,3,16,15372.1,126,26396.44,2,648.52,Full-time,1,663.99
53,48627.76,0.3606,0.2199,0,16,25344.65,157,2524.16,1,199.92,Full-time,1,817.68
42,48659.81,0.4474,0.1349,1,15,46759.97,114,5944.24,1,523.79,Full-time,1,752.06
54,132165.59,0.5887,0.1915,2,7,29317.83,155,14505.56,3,592.35,Full-time,1,704.68
28,72777.13,0.1466,0.3126,1,9,28948.1,105,2777.11,1,325.55,Unemployed,1,790.37
63,51616.1,0.3926,0.577,1,9,27120.42,84,17658.77,2,315.46,Self-employed,1,632.97
44,61709.31,0.5907,0.4933,0,8,5422.25,166,10281.9,2,746.21,Part-time,1,687.8
65,121647.54,0.2378,0.4581,0,4,19079.47,79,17185.57,0,319.53,Full-time,1,729.97
28,128000.73,0.2779,0.2161,1,5,21781.2,52,10963.48,1,251.19,Full-time,1,730.94
44,45818.49,0.2858,0.2371,3,10,26556.02,146,11619.44,4,140.83,Full-time,1,751.65
53,64919.6,0.3457,0.1787,0,4,16997.7,61,1459.11,4,420.8,Part-time,1,752.45
44,68910.96,0.2263,0.3811,0,2,29759.21,7,5281.13,0,292.4,Part-time,1,692.67
41,42454.66,0.379,0.1321,1,4,9217.39,12,20565.73,1,296.92,Full-time,1,688.28
28,64533.63,0.3292,0.2449,1,16,72763.05,131,4009.04,4,390.45,Self-employed,1,774.18
38,66329.85,0.4819,0.1453,1,17,26655.87,41,5801.34,2,692.37,Full-time,1,678.27
32,110535.75,0.3548,0.336,1,1,9468.91,70,9215.28,2,632.11,Self-employed,1,692.89
35,113930.2,0.6177,0.448,1,5,46575.43,86,9965.8,1,571.62,Unemployed,1,599.36
53,57059.84,0.2445,0.2221,3,14,8256.99,71,24555.67,2,260.69,Full-time,1,705.29
50,60097.35,0.5652,0.1071,3,8,18153.41,148,16237.88,0,500.76,Self-employed,1,702.0
49,89226.34,0.1843,0.4449,0,4,19550.2,152,7615.4,1,119.38,Unemployed,1,810.15
38,50851.52,0.2685,0.2448,3,12,13535.38,36,3111.72,2,436.0,Full-time,1,663.25
66,86239.89,0.408,0.27,2,12,16556.56,13,150000.0,0,238.8,Full-time,1,620.93
25,63604.66,0.2429,0.2479,2,11,18850.17,95,13795.9,1,412.51,Full-time,1,744.32
37,42777.63,0.3994,0.3894,0,7,8507.3,153,29046.27,0,290.65,Unemployed,1,760.33
26,43020.13,0.2719,0.2009,0,14,21836.91,57,1761.39,0,364.34,Part-time,1,765.7
36,126902.76,0.196,0.139,1,5,18071.59,73,9741.78,1,76.65,Full-time,1,792.28
66,61673.54,0.3526,0.4472,2,7,70315.66,142,9432.35,2,1243.27,Full-time,1,700.75
38,138435.44,0.1791,0.1341,1,16,50956.67,79,9002.11,3,416.58,Full-time,1,803.58
63,52515.5,0.315,0.1995,0,6,10794.34,115,25887.54,0,684.19,Full-time,1,801.46
44,75436.18,0.2854,0.285,2,3,16338.53,159,10666.37,0,468.69,Self-employed,1,775.63
53,194211.79,0.5499,0.2652,3,9,11097.22,12,9273.81,1,75.87,Unemployed,1,553.73
42,41116.96,0.345,0.5237,1,12,15085.5,12,13208.42,3,428.0,Unemployed,1,600.58
33,28169.17,0.5419,0.3252,0,11,32913.7,31,13650.07,1,96.97,Full-time,1,631.96
56,118062.04,0.231,0.5194,0,5,16783.98,95,4774.02,4,256.54,Unemployed,1,730.02
66,45612.45,0.5893,0.455,0,17,12717.13,138,30992.91,4,368.71,Full-time,1,674.46
33,65557.45,0.4017,0.397,0,13,27550.88,25,8172.16,3,306.67,Full-time,1,651.07
57,50834.82,0.2575,0.3452,1,10,4648.66,123,12237.75,1,142.93,Full-time,1,763.95
33,74658.02,0.2809,0.1476,0,13,13760.21,17,47681.68,2,142.96,Self-employed,1,743.0
54,43142.28,0.368,0.0809,0,14,47051.08,23,150000.0,3,619.32,Full-time,1,738.54
58,61024.27,0.4338,0.3973,1,10,48645.29,167,19888.45,1,693.96,Full-time,1,734.7
42,81017.21,0.2229,0.1528,1,16,44969.47,56,3040.09,2,522.73,Full-time,1,766.6
55,42035.13,0.5751,0.4109,2,5,7616.81,76,10470.16,2,724.96,Full-time,1,588.08
33,48289.15,0.2198,0.3703,2,1,7576.97,51,57426.0,1,1242.51,Full-time,1,683.98
24,56595.1,0.1659,0.1465,1,10,12764.18,63,10982.75,0,441.46,Full-time,1,791.1
25,34788.18,0.2481,0.4673,2,5,18192.7,86,27118.99,0,630.52,Full-time,1,680.41
42,54712.5,0.6435,0.1942,0,15,10795.31,39,26788.88,1,339.58,Full-time,1,640.9
63,69804.83,0.3036,0.0871,0,1,5561.23,7,7344.66,2,198.24,Full-time,1,742.98
26,55282.02,0.3125,0.2577,1,14,34526.59,126,66756.54,3,104.24,Full-time,1,771.82
42,58564.3,0.4541,0.1969,1,16,30724.64,96,19237.81,2,883.84,Part-time,1,719.54
54,65581.19,0.3518,0.3973,4,16,11926.1,98,13061.78,2,208.47,Full-time,1,626.8
30,49262.35,0.5278,0.3039,2,7,29684.64,32,11624.78,1,30.88,Full-time,1,592.35
54,90307.71,0.2245,0.0727,1,14,34906.56,130,4933.18,2,253.22,Unemployed,0,847.81
35,126271.57,0.5455,0.1732,0,10,3408.67,133,6829.15,1,356.94,Full-time,1,753.88
59,53692.51,0.4413,0.585,0,1,28294.43,88,5599.89,0,1235.54,Full-time,1,644.69
48,82317.52,0.0982,0.2,2,9,17281.44,100,92308.0,0,434.27,Full-time,1,803.87
46,59407.29,0.3931,0.2688,0,13,3104.94,70,32255.99,1,287.86,Unemployed,1,723.2
29,78000.41,0.2921,0.1078,0,13,36780.47,142,5664.19,1,643.82,Self-employed,1,850.0
42,133866.83,0.3796,0.0936,0,7,19064.89,165,64010.48,0,369.89,Full-time,1,850.0
61,83191.2,0.2139,0.3095,0,7,5899.78,114,42626.67,4,333.8,Full-time,1,803.46
21,29791.05,0.5106,0.188,0,11,23819.26,21,7736.63,0,520.7,Full-time,1,667.32
56,81169.76,0.5739,0.2248,0,1,20469.75,163,20982.62,2,303.09,Full-time,1,757.46
44,115241.9,0.2383,0.2649,3,15,26333.29,99,7484.6,2,924.63,Full-time,1,719.78
54,59891.01,0.4142,0.1781,4,7,4656.88,172,31931.49,1,891.82,Part-time,1,724.55
52,103573.38,0.368,0.299,0,10,14612.92,131,20300.0,1,671.39,Unemployed,1,774.02
41,48506.25,0.2705,0.553,0,8,9076.7,113,9320.79,2,221.87,Full-time,1,724.77
35,33911.43,0.347,0.3084,2,7,16089.57,59,4665.89,0,323.67,Self-employed,1,667.97
50,70511.14,0.3557,0.1994,3,7,5493.12,114,12644.02,4,591.01,Full-time,1,713.44
27,30018.99,0.2893,0.0995,2,14,8250.24,43,20287.88,0,319.12,Self-employed,1,724.17
48,59403.18,0.5287,0.4279,1,5,52979.08,65,40347.86,2,298.01,Self-employed,1,613.58
25,118075.44,0.3516,0.0757,2,17,40662.54,116,22804.11,2,452.99,Part-time,1,772.26
51,28018.12,0.4468,0.1294,0,2,35601.24,168,29360.73,3,211.11,Self-employed,1,823.61
50,37206.04,0.3871,0.3652,0,8,50488.68,98,7051.81,2,344.9,Self-employed,1,724.24
24,41588.77,0.2425,0.444,2,1,4872.22,147,2486.39,0,264.76,Unemployed,1,738.75
56,64312.29,0.4332,0.2642,1,7,17332.92,80,3170.37,3,164.76,Part-time,1,695.66
40,56130.1,0.3285,0.3826,2,16,21391.63,47,10426.86,3,490.58,Full-time,1,644.97
57,124195.4,0.5729,0.1745,1,10,13750.24,19,6925.24,1,182.34,Full-time,1,625.34
22,101666.87,0.4553,0.1093,0,2,4902.06,49,12032.57,2,133.66,Full-time,1,726.92
29,82691.56,0.6493,0.2847,1,12,33474.64,23,24928.61,2,109.4,Unemployed,1,578.2
44,70652.84,0.5867,0.5038,1,7,27791.34,134,22775.31,6,504.15,Full-time,1,634.71
29,78980.27,0.2662,0.2835,3,3,11678.85,21,1819.85,3,175.87,Part-time,1,641.76
36,44896.18,0.2575,0.3925,0,2,32594.96,65,119715.87,1,209.97,Full-time,1,728.79
52,97318.53,0.1694,0.6302,1,8,19673.61,158,18631.97,3,653.52,Full-time,1,748.3
27,40117.99,0.2579,0.1699,1,2,28104.18,148,17086.08,1,96.33,Full-time,1,828.49
52,96367.05,0.3758,0.1511,2,12,9508.28,150,11776.35,0,295.63,Full-time,1,774.48
25,112844.28,0.3606,0.2736,1,12,21312.82,165,10531.66,3,222.82,Full-time,1,785.92
29,72757.63,0.2172,0.2502,0,15,21471.21,93,34037.95,1,613.37,Full-time,1,799.79
48,61126.71,0.3697,0.2987,2,16,15335.68,23,5839.91,5,279.28,Full-time,1,633.58
58,79232.31,0.4034,0.1711,2,16,2774.59,42,17338.84,4,212.87,Self-employed,1,671.2
29,20000.0,0.3475,0.0767,1,6,20337.74,95,48465.31,1,314.73,Full-time,1,780.74
35,75812.33,0.2388,0.1971,1,5,21330.21,38,15699.9,0,377.42,Full-time,1,735.75
64,62880.46,0.5199,0.226,0,13,9302.7,160,20666.26,0,113.73,Full-time,1,770.86
67,64680.65,0.3625,0.4867,0,8,26918.93,79,4048.2,0,217.84,Part-time,1,685.41
48,90938.58,0.3211,0.2487,0,14,21402.53,100,26972.67,1,618.7,Full-time,1,774.83
42,63981.8,0.2359,0.5988,1,15,24020.28,23,18287.15,0,290.42,Self-employed,1,623.7
37,39612.77,0.6792,0.4578,1,11,13846.36,28,12268.38,2,688.53,Self-employed,1,530.12
49,62091.77,0.4179,0.3379,0,9,5452.74,144,24675.58,1,871.59,Full-time,1,760.16
48,68213.65,0.2465,0.3801,0,15,5537.95,143,5054.62,3,697.61,Unemployed,1,800.19
34,69683.6,0.3647,0.5794,1,9,29180.24,109,61762.0,3,735.93,Part-time,1,661.57
22,71172.64,0.4044,0.1577,1,4,8385.71,39,150000.0,1,374.47,Full-time,1,696.76
28,105631.94,0.3381,0.3718,0,2,10315.37,85,8015.03,0,178.93,Full-time,1,726.45
66,40590.3,0.4166,0.4357,0,2,32459.14,90,36294.27,1,648.63,Part-time,1,691.1
40,71615.39,0.2273,0.3171,4,2,4042.03,48,11822.45,0,778.44,Full-time,1,642.54
43,118239.6,0.2876,0.2441,2,8,5857.19,174,4694.12,1,471.81,Part-time,1,797.7
